id,name__nn,name__en,name__se,name__es,name__de,name__fr,name__nb,name__eo,name__nl,name__da,name__sv,name__hu,name,wikipedia__da,wikipedia__en,wikipedia__nn,wikipedia__no,wikipedia__se,image,gender,birth_date,identifier__freebase,given_name,identifier__storting,original_wikiname,death_date,wikipedia__de,wikipedia__sv,name__lb,name__zh,name__eu,name__pl,name__qu,name__ta,name__af,name__oc,name__ms,name__sw,name__et,name__el,name__bcl,name__ga,name__ar,name__pt,name__is,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__io,name__kk,name__an,name__ko,name__he,name__be,name__yo,name__lv,name__it,name__gl,name__id,name__ja,name__vi,name__sh,name__ku,name__ro,name__ca,name__la,name__fo,name__cs,name__mr,name__bg,name__fa,name__lt,name__pt_br,name__lmo,name__en_gb,name__ka,name__sco,name__ml,name__hi,name__az,name__br,name__ie,name__hy,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__ga,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nowikiquote,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sw,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__BIBSYS,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,twitter,facebook,identifier__FAST,name__bs,wikipedia__bswikiquote,name__nds,name__cy,identifier__OLID,identifier__polsys,name__ceb,name__hr,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gsw,website,identifier__wikitree,identifier__N6I,wikipedia__nowikisource,identifier__NTA,family_name,name__mg,wikipedia__mg,noble_title,identifier__bigenc_ru,identifier__PACE,identifier__CERL,name__ast,name__bar,name__bm,name__co,name__de_at,name__de_ch,name__en_ca,name__frc,name__frp,name__fur,name__gd,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__vls,name__vmf,name__vo,name__wo,name__zu,name__bn,name__mk,name__pdc,wikipedia__ast,wikipedia__bn,wikipedia__sk,identifier__NSK,name__ur,wikipedia__nnwikiquote,wikipedia__ur,identifier__NLAtrove,name__zh_hant,name__zh_cn,identifier__GNC,wikipedia__enwikisource,name__ty,name__sr_ec,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__AlloCine,identifier__SFDb,identifier__kinopoisk,identifier__TED,identifier__Gutenberg,wikipedia__species,wikipedia__hy,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,identifier__Britannica,name__war,name__new,name__sa,wikipedia__new,wikipedia__ptwikiquote,wikipedia__sa,wikipedia__war,identifier__NLI,identifier__NPG,name__vep,wikipedia__vep,name__tl,name__ku_arab,name__ku_latn,name__ne,wikipedia__cy,wikipedia__eswikiquote,wikipedia__frwikiquote,wikipedia__hr,wikipedia__ia,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,identifier__NDL,identifier__NLA,name__szl,wikipedia__szl,name__fit,name__kl,wikipedia__nds,wikipedia__sq,identifier__NUKAT,name__ch,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,name__pa,wikipedia__arz,wikipedia__bs,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__pa,wikipedia__te,wikipedia__th,identifier__SELIBR,wikipedia__bar,name__frr,name__fy,name__hsb,name__dsb,name__eml,name__as,name__lad,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__dtp,name__ee,name__ext,name__ff,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__iu,name__jbo,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mt,name__mus,name__mwl,name__na,name__nah,name__ng,name__nl_informal,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdt,name__pfl,name__pih,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__srn,name__st,name__stq,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ug_latn,name__uz,name__ve,name__vot,name__xh,name__za,name__zea,occupation,wikipedia__hsb,identifier__ne_se,name__tt,identifier__snac,name__sje,name__smj,wikipedia__zh_min_nan,name__ace,name__egl,name__gv,name__hil,name__su,name__nan,identifier__quora,identifier__persee,wikipedia__itwikiquote,wikipedia__dewikinews,wikipedia__mai,electoral_district,name__mai
Q5360321,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,,Eli Sollied Øveraas,Eli Sollied Øveraas,Eli Sollied Øveraas,,,female,1949-08-15,,Eli,ESO,Eli Sollied Øveraas,,,,,,,,,,,,,Eli Sollied Øveraas,,,,,,,Eli Sollied Øveraas,,,,,,,,,,,,,,,,,,,,,,,,,Eli Sollied Øveraas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Øveraas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eli Sollied Øveraas,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Eli Sollied Øveraas,Eli Sollied Øveraas,,,,,,,,,,,,,,
Q5364784,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,Ellen Christine Christiansen,,Ellen Christine Christiansen,Ellen Chr. Christiansen,Ellen Chr. Christiansen,,,female,1964-12-10,,Ellen,ECC,Ellen Christine Christiansen,,,,,,,,,,,,,Ellen Christine Christiansen,,,,,,,Ellen Christine Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,Ellen Christine Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm2078610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christiansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellen Christine Christiansen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Ellen Christine Christiansen,Ellen Christine Christiansen,,,,,,,,,,,,,,
Q5367440,Elsa Skarbøvik,Elsa Skarbøvik,Elsa Skarbøvik,,Elsa Skarbøvik,Elsa Skarbøvik,Elsa Skarbøvik,,Elsa Skarbøvik,Elsa Skarbøvik,Elsa Skarbøvik,,Elsa Skarbøvik,,Elsa Skarbøvik,,Elsa Skarbøvik,,,female,1948-11-03,,Elsa,ELSK,Elsa Skarbøvik,,,,,,,,,,,,,Elsa Skarbøvik,,,,,,,Elsa Skarbøvik,,,,,,,,,,,,,,,,,,,,,,,,,Elsa Skarbøvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skarbøvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elsa Skarbøvik,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Elsa Skarbøvik,Elsa Skarbøvik,,,,,,,,,,,,,,
Q5367503,Else Repål,Else Repål,Else Repål,,Else Repål,Else Repål,Else Repål,,Else Repål,Else Repål,Else Repål,,Else Repål,,Else Repål,Else Repål,Else Repål,,,female,1930-02-20,,Else,ELRE,Else Repål,2015-04-19,,,,,,,,,,,,Else Repål,,,,,,,Else Repål,,,,,,,,,,,,,,,,,,,,,,,,,Else Repål,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Else Repål,,,,,,,,,,,,,,,,,,Repål,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Else Repål,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Else Repål,Else Repål,,,,,,,,,,,,,,
Q5371361,Emil Løvlien,Emil Løvlien,Emil Løvlien,,Emil Løvlien,Emil Løvlien,Emil Løvlien,,Emil Løvlien,Emil Løvlien,Emil Løvlien,,Emil Løvlien,,Emil Løvlien,Emil Løvlien,Emil Løvlien,,https://upload.wikimedia.org/wikipedia/commons/9/96/Emil_Løvlien_(Wardenær).jpg,male,1899-09-22,,Emil,EML_O,Emil Løvlien,1973,,,,,,,,,,,,Emil Løvlien,,,,,,,Emil Løvlien,,,,,,,,Эмиль Левлиен,,,,,,,,,,,,,,,,,Emil Løvlien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Эмиль Левлиен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Løvlien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emil Løvlien,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Emil Løvlien,Emil Løvlien,,,,,,,,,,,,,,
Q5378717,Engly Lie,Engly Lie,Engly Lie,,Engly Lie,Engly Lie,Engly Lie,,Engly Lie,Engly Lie,Engly Lie,,Engly Lie,,Engly Lie,Engly Lie,Engly Lie,,,male,1919-08-04,,Engly,ENLI,Engly Lie,2001-11-01,,,,,,,,,,,,Engly Lie,,,,,,,Engly Lie,,,,,,,,,,,,,,,,,,,,,,,,,Engly Lie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engly Lie,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Engly Lie,Engly Lie,,,,,,,,,,,,,,
Q5388548,Erik Dalheim,Erik Dalheim,Erik Dalheim,,Erik Dalheim,Erik Dalheim,Erik Dalheim,,Erik Dalheim,Erik Dalheim,Erik Dalheim,,Erik Dalheim,,Erik Dalheim,Erik Dalheim,Erik Dalheim,,,male,1940-10-04,,Erik,SIVE,Erik Dalheim,,,,,,,,,,,,,Erik Dalheim,,,,,,,Erik Dalheim,,,,,,,,,,,,,,,,,,,,,,,,,Erik Dalheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dalheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erik Dalheim,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Erik Dalheim,Erik Dalheim,,,,,,,,,,,,,,
Q5389720,Erland Asdahl,Erland Asdahl,Erland Asdahl,Erland Asdahl,Erland Asdahl,Erland Asdahl,Erland Asdahl,,Erland Asdahl,Erland Asdahl,Erland Asdahl,Erland Asdahl,Erland Asdahl,,Erland Asdahl,,Erland Asdahl,,,male,1921-04-06,,Erland,ERAS,Erland Asdahl,1988-07-19,,,,,,,,,,,,Erland Asdahl,,,,,,,Erland Asdahl,,,,,,,,,,,,,,,,,,,,,,,,,Erland Asdahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asdahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erland Asdahl,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Erland Asdahl,Erland Asdahl,,,,,,,,,,,,,,
Q5389805,Erling Fredriksfryd,Erling Fredriksfryd,Erling Fredriksfryd,,Erling Fredriksfryd,Erling Fredriksfryd,Erling Fredriksfryd,,Erling Fredriksfryd,Erling Fredriksfryd,Erling Fredriksfryd,,Erling Fredriksfryd,,Erling Fredriksfryd,Erling Fredriksfryd,Erling Fredriksfryd,,https://upload.wikimedia.org/wikipedia/commons/a/a3/Erling_Fredriksfryd_-_L0027_437Fo30141605310092.jpg,male,1905-02-07,,Erling,ERFR,Erling Fredriksfryd,1977-01-17,,,,,,,,,,,,Erling Fredriksfryd,,,,,,,Erling Fredriksfryd,,,,,,,,,,,,,,,,,,,,,,,,,Erling Fredriksfryd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fredriksfryd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erling Fredriksfryd,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Erling Fredriksfryd,Erling Fredriksfryd,,,,,,,,,,,,,,
Q5398825,Espen Johnsen,Espen Johnsen,Espen Johnsen,,Espen Johnsen,Espen Johnsen,Espen Johnsen,,Espen Johnsen,Espen Johnsen,Espen Johnsen,Espen Johnsen,Espen Johnsen,,Espen Johnsen (politician),Espen Johnsen (f. 1976),Espen Johnsen (politiker),,https://upload.wikimedia.org/wikipedia/commons/4/48/Espen_Johnsen_Lillehammer_(6108285001)_(cropped).jpg,male,1976-10-17,,Espen,EJ,Espen Johnsen (politician),,,,,,,,,,,,,Espen Johnsen,,Έσπεν Γιόνσεν,,,,,Espen Johnsen,,,,,,,,,,,,,,,Espen Johnsen,,,,,,,,Espen Johnsen,,Espen Johnsen,Espen Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,Espen Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espen Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espen Johnsen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Espen Johnsen,Espen Johnsen,,,,,,,,,,,,,,
Q5408578,Eugène Olaussen,Eugène Olaussen,Eugène Olaussen,,Eugène Olaussen,Eugene Olaussen,Eugène Olaussen,,Eugène Olaussen,Eugène Olaussen,Eugène Olaussen,,Eugène Olaussen,,Eugène Olaussen,,Eugene Olaussen,,https://upload.wikimedia.org/wikipedia/commons/0/03/Eugene_Olaussen.jpg,male,1887-12-27,,Eugène,,Eugène Olaussen,1962-01-22,,,,,,,,,,,,Eugène Olaussen,,,,,,,Eugène Olaussen,,,,,,,,,,,,,,,,,,,,,,,,,Eugène Olaussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olaussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eugène Olaussen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Eugène Olaussen,Eugène Olaussen,,,,,,,,,,,,,,
Q5415094,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,,Eva Kristin Hansen,Eva Kristin Hansen,Eva Kristin Hansen,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Eva_Kristin_Hansen_-_Arbeiderpartiet_(cropped).jpg,female,1973-03-05,/m/0krzcb,Eva,EVH,Eva Kristin Hansen,,,,,,,,,,,,,Eva Kristin Hansen,,,,,,,Eva Kristin Hansen,,,,,,,,,,,,,,,,,,,,,,,,,Eva Kristin Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nm2074372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva Kristin Hansen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Eva Kristin Hansen,Eva Kristin Hansen,,,,,,,,,,,,,,
Q5415162,Eva R. Finstad,Eva R. Finstad,Eva R. Finstad,,,Eva R. Finstad,Eva R. Finstad,,Eva R. Finstad,Eva R. Finstad,Eva R. Finstad,,Eva R. Finstad,,Eva R. Finstad,Eva R. Finstad,Eva R. Finstad,,,female,1933-08-06,,Eva,ERF,Eva R. Finstad,1998-06-08,,,,,,,,,,,,Eva R. Finstad,,,,,,,Eva R. Finstad,,,,,,,,,,,,,,,,,,,,,,,,,Eva R. Finstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eva R. Finstad,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Eva R. Finstad,Eva R. Finstad,,,,,,,,,,,,,,
Q543818,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,Karita Bekkemellem,,https://upload.wikimedia.org/wikipedia/commons/9/9e/Karita_Bekkemellem_01_(cropped).jpg,female,1965-01-15,/m/09c45t,Karita,,Karita Bekkemellem,,Karita Bekkemellem,Karita Bekkemellem,,,,,,,,,,Karita Bekkemellem,,,,,,,Karita Bekkemellem,,,,,,,,,,,,,,,,,,,,,,,,,Karita Bekkemellem,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Karita Bekkemellem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karita Bekkemellem,,,,,,,,,,,,,,,,,,,,,228534492,,,,,nm2063229,9067548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bekkemellem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karita Bekkemellem,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Karita Bekkemellem,Karita Bekkemellem,,,,,,,,,,,,,,
Q5450645,Finn Kristensen,Finn Kristensen,Finn Kristensen,Finn Kristensen,Finn Kristensen,Finn Kristensen,Finn Kristensen,,Finn Kristensen,Finn Kristensen,Finn Kristensen,Finn Kristensen,Finn Kristensen,,Finn Kristensen,Finn Kristensen,Finn Kristensen,,,male,1936-07-24,,Finn,FIKR,Finn Kristensen,,,,,,,,,,,,,Finn Kristensen,,,,,,,Finn Kristensen,,,,,,,,,,,,,,,,,,フィン・クリステンセン,,,,,,,Finn Kristensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kristensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finn Kristensen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Finn Kristensen,Finn Kristensen,,,,,,,,,,,,,,
